id,candidate_last,candidate_full,candidate_id,committee_name,committee_id,party,active,website,imageurl
,Barlock,Stephen Barlock,20175032189,Barlock For Governor,20175032188,Republican,,https://www.barlockforgovernor.com/,
,Bellamy,VŽronique Bellamy,20165031863,Frenemies Of VŽronique Bellamy For Governor,20165031873,Green,,,
,Blanchard,Renee Blanchard,20185033497,,,Democrat,,,
,Brauchler,George Brauchler,20175032030,George 2018,20175032022,Republican,,https://www.george2018.com/,pic
,Braun,Erich Braun,20185033629,,,Republican,,,
,Cantrell,George Cantrell,20175031910,Cantrell For Governor,20175031933,American Constitution,,,
,Coffman,Cynthia Coffman,20175033289,Cynthia Coffman for Governor,20175033290,Republican,active,http://cynthia2018.com/,
,Cunningham,Kathleen,20105017470,Committee To Elect Kathleen Cunningham,20175032085,Unaffiliated,,,
,French,John,20175033320,,,,,,
,Gaiter,Lew Gaiter,20175031961,Lew Gaiter For Governor,20175031962,Republican,,,pic
,Garrity,Adam Garrity,20165030242,,,Democrat,,,
,Ginsburg,Noel Ginsburg,20165031885,Noel For Colorado,20165031883,Democrat,,https://www.noelforcolorado.com/,pic
,Hammons,William Hammons,20165031880,,20175033185,Unity,active,http://www.billisrunning.com/,
,Helker,Scott,20175033398,,,,,,
,Humes,Moses Humes,20165031262,,,Democrat,,,
,Johnston,Michael Johnston,20175031896,Mike Johnston For Governor,20175031889,Democrat,active,https://mikejohnstonforcolorado.com/,pic
,Kear,Teri,20185033495,,,Republican,,,
,Kennedy,Cary Kennedy,20175032046,Cary Kennedy For Governor,20175032028,Democrat,active,http://carykennedyforgovernor.com/,pic
,Lopez,Greg Lopez,20175032078,Greg Lopez For Governor,20175032123,Republican,,,pic
,Lynne,Donna Lynne,20175032326,Lynne For Colorado,20175032283,Democrat,,,pic
,Mitchell,Victor Mitchell,20175031915,Coloradans For Victor Mitchell,20175031909,Republican,,,pic
,Osada,Richard Osada,20175032145,,,Unaffiliated,,,
,Perkins,Dianna Perkins,20185033522,Plain and Simple,20185033589,Unaffiliated,active,,
,Perlmutter,Ed Perlmutter,20175032039,Perlmutter For Colorado,20175032027,Democrat,inactive,,pic
,Polis,Jared Polis,20175032140,Polis For Colorado,20175032139,Democrat,active,http://www.polisforcolorado.com/,pic
,Robinson,Doug Robinson,20175032056,Doug For Colorado,20175032055,Republican,active,http://www.dougforcolorado.com/,pic
,Rundberg,Jim Rundberg,20135025392,Rundberg For Colorado Governor,20135025390,Republican,,,pic
,Schroeder,Michael Schroeder,20175031968,,,Democrat,,,
,Stapleton,Walker Stapleton,20175033125,Stapleton For Colorado,20175033116,Republican,,https://www.stapletonforcolorado.com/,pic
,Starkey,Korey Starkey,20175032000,,,Unaffiliated,,,
,Tancredo,Tom,20175033275,,20175033254,Republican,inactive,,
,Underwood,Erik Underwood,20175032293,Underwood For Colorado,20175032292,Democrat,,,
,Wilbourn,Michael Wilbourn,20165031881,Michael Wilbourn For Governor,20165031882,Unaffiliated,,,
,Wood,Matthew Wood,20175031940,,,Unaffiliated,,https://www.woodforcolorado.com/,
